prof_id,prof_name,dept_id,email,position,hire_date
1,김철수,1,kim@university.ac.kr,정교수,2010-03-01
2,이영희,1,lee@university.ac.kr,부교수,2012-03-01
3,박민수,2,park@university.ac.kr,정교수,2008-03-01
4,정다운,3,jung@university.ac.kr,조교수,2015-03-01
5,최지영,1,choi@university.ac.kr,부교수,2013-03-01
6,강형욱,2,kang@university.ac.kr,조교수,2017-03-01
7,윤서연,3,yoon@university.ac.kr,정교수,2009-03-01
8,임재현,4,lim@university.ac.kr,부교수,2014-03-01
9,한소희,5,han@university.ac.kr,정교수,2011-03-01
10,오민준,6,oh@university.ac.kr,조교수,2016-03-01
11,서지원,7,seo@university.ac.kr,부교수,2013-03-01
12,노현우,5,noh@university.ac.kr,조교수,2018-03-01
